Name;Id
CO20117;CFI2F7^1
CO20217;CFI2G7^1
CO20317;CFI2H7^1
CO20417;CFI2J7^1
CO20517;CFI2K7^1
CO20617;CFI2M7^1
CO20717;CFI2N7^1
CO20116;CFI2F6^1
CO20216;CFI2G6^1
CO20316;CFI2H6^1
CO20416;CFI2J6^1
CO20516;CFI2K6^1
CO20616;CFI2M6^1
CO20716;CFI2N6^1
CO20816;CFI2Q6^1
CO20916;CFI2U6^1
CO21016;CFI2V6^1
CO21116;CFI2X6^1
CO21216;CFI2Z6^1
CO20115;CFI2F5^1
CO20215;CFI2G5^1
CO20315;CFI2H5^1
CO20415;CFI2J5^1
CO20515;CFI2K5^1
CO20615;CFI2M5^1
CO20715;CFI2N5^1
CO20815;CFI2Q5^1
CO20915;CFI2U5^1
CO21015;CFI2V5^1
CO21115;CFI2X5^1
CO21215;CFI2Z5^1
CO20114;CFI2F4^1
CO20214;CFI2G4^1
CO20314;CFI2H4^1
CO20414;CFI2J4^1
CO20514;CFI2K4^1
CO20614;CFI2M4^1
CO20714;CFI2N4^1
CO20814;CFI2Q4^1
CO20914;CFI2U4^1
CO21014;CFI2V4^1
CO21114;CFI2X4^1
CO21214;CFI2Z4^1
CO2FM;CFI2c1
CO2Y;0#CFI2Z:
